Label,Isi Post,Akun,Tanggal,Unnamed: 4,Unnamed: 5,tokenization,stop_removal,post_stemmed
Negatif,"kaya gini yah makanan nya. coba kasih makan buat para mentri di kabinet aja dulu, kasih contoh kalau mentri kabinet ikut makan juga menu makan gratis fahri, kalau rnak bikin kenyang baru kasih ke rakyat",@abimobilindo,7/1/25,,,"['kaya', 'gini', 'yah', 'makanan', 'nya', 'coba', 'kasih', 'makan', 'buat', 'para', 'mentri', 'di', 'kabinet', 'aja', 'dulu', 'kasih', 'contoh', 'kalau', 'mentri', 'kabinet', 'ikut', 'makan', 'juga', 'menu', 'makan', 'gratis', 'fahri', 'kalau', 'rnak', 'bikin', 'kenyang', 'baru', 'kasih', 'ke', 'rakyat']","['kaya', 'gini', 'yah', 'makanan', 'nya', 'coba', 'kasih', 'makan', 'mentri', 'kabinet', 'aja', 'kasih', 'contoh', 'mentri', 'kabinet', 'makan', 'menu', 'makan', 'gratis', 'fahri', 'rnak', 'bikin', 'kenyang', 'kasih', 'rakyat']","['kaya', 'gin', 'yah', 'makan', 'nya', 'coba', 'kasih', 'makan', 'tri', 'kabinet', 'aja', 'kasih', 'contoh', 'tri', 'kabinet', 'makan', 'menu', 'makan', 'gratis', 'fahri', 'rnak', 'bikin', 'kenyang', 'kasih', 'rakyat']"
Positif,"inilah tipe orang yang ga mau berkembang maunya stagnan menurut gw suatu kemajuan sekarang bisa beri makan siang gratis buat anak sekolah, tinggal kayak lu pada yang masih sakit hati jagoannya kalah",@sirarthuryese,7/1/25,,,"['inilah', 'tipe', 'orang', 'yang', 'ga', 'mau', 'berkembang', 'maunya', 'stagnan', 'menurut', 'gw', 'suatu', 'kemajuan', 'sekarang', 'bisa', 'beri', 'makan', 'siang', 'gratis', 'buat', 'anak', 'sekolah', 'tinggal', 'kayak', 'lu', 'pada', 'yang', 'masih', 'sakit', 'hati', 'jagoannya', 'kalah']","['tipe', 'orang', 'ga', 'berkembang', 'maunya', 'stagnan', 'gw', 'kemajuan', 'makan', 'siang', 'gratis', 'anak', 'sekolah', 'tinggal', 'kayak', 'lu', 'sakit', 'hati', 'jagoannya', 'kalah']","['tipe', 'orang', 'ga', 'kembang', 'mau', 'stagnan', 'gw', 'maju', 'makan', 'siang', 'gratis', 'anak', 'sekolah', 'tinggal', 'kayak', 'lu', 'sakit', 'hati', 'jago', 'kalah']"
Negatif,"daridulu gue bertanya2, kenapa program ini jadi program unggulan ya, sedangkan kita punya budaya jumat berkah, maksudnya kalau perkara bagi2 makanan kan ga perlu jadi presiden gitu",@cmellinaa,7/1/25,,,"['daridulu', 'gue', 'bertanya2', 'kenapa', 'program', 'ini', 'jadi', 'program', 'unggulan', 'ya', 'sedangkan', 'kita', 'punya', 'budaya', 'jumat', 'berkah', 'maksudnya', 'kalau', 'perkara', 'bagi2', 'makanan', 'kan', 'ga', 'perlu', 'jadi', 'presiden', 'gitu']","['daridulu', 'gue', 'bertanya2', 'program', 'program', 'unggulan', 'ya', 'budaya', 'jumat', 'berkah', 'maksudnya', 'perkara', 'bagi2', 'makanan', 'ga', 'presiden', 'gitu']","['daridulu', 'gue', 'bertanya2', 'program', 'program', 'unggul', 'ya', 'budaya', 'jumat', 'berkah', 'maksud', 'perkara', 'bagi2', 'makan', 'ga', 'presiden', 'gitu']"
Positif,"gklah, jawaban serius ya ni program makan siang gratis tuh banyak disukai sama masyarakat menengah kebawah karena mereka bakal bisa hemat pengeluaran. program ini bakal jadi cara cepat buat prabowo gibran keliatan kerja dan disukai banyak masyarakat menengah kebawah",@TriCahyyow,7/1/25,,,"['gklah', 'jawaban', 'serius', 'ya', 'ni', 'program', 'makan', 'siang', 'gratis', 'tuh', 'banyak', 'disukai', 'sama', 'masyarakat', 'menengah', 'kebawah', 'karena', 'mereka', 'bakal', 'bisa', 'hemat', 'pengeluaran', 'program', 'ini', 'bakal', 'jadi', 'cara', 'cepat', 'buat', 'prabowo', 'gibran', 'keliatan', 'kerja', 'dan', 'disukai', 'banyak', 'masyarakat', 'menengah', 'kebawah']","['gklah', 'serius', 'ya', 'ni', 'program', 'makan', 'siang', 'gratis', 'tuh', 'disukai', 'masyarakat', 'menengah', 'kebawah', 'hemat', 'pengeluaran', 'program', 'cepat', 'prabowo', 'gibran', 'keliatan', 'kerja', 'disukai', 'masyarakat', 'menengah', 'kebawah']","['gklah', 'serius', 'ya', 'ni', 'program', 'makan', 'siang', 'gratis', 'tuh', 'suka', 'masyarakat', 'tengah', 'bawah', 'hemat', 'keluar', 'program', 'cepat', 'prabowo', 'gibran', 'liat', 'kerja', 'suka', 'masyarakat', 'tengah', 'bawah']"
Negatif,mending distop aja kata gue mah. gapapa anjir jangan dipaksain karena gengsi. emang ga jalan dengan semestinya. food waste jadinya,@cigsforsadness,7/1/25,,,"['mending', 'distop', 'aja', 'kata', 'gue', 'mah', 'gapapa', 'anjir', 'jangan', 'dipaksain', 'karena', 'gengsi', 'emang', 'ga', 'jalan', 'dengan', 'semestinya', 'food', 'waste', 'jadinya']","['mending', 'distop', 'aja', 'gue', 'mah', 'gapapa', 'anjir', 'dipaksain', 'gengsi', 'emang', 'ga', 'jalan', 'semestinya', 'food', 'waste']","['mending', 'stop', 'aja', 'gue', 'mah', 'gapapa', 'anjir', 'dipaksain', 'gengsi', 'emang', 'ga', 'jalan', 'mesti', 'food', 'waste']"
Negatif,"sayangnya presiden kita dan semua kacungnya berjiwa binatang! yang menjadikan rakyat jadi sapi perah untuk kesejahteraan mereka. bangsat! ini akibat kalau berkuasa berniat untuk memperkaya diri, sedih melihat perwira agung seperti @prabowo bisa selemah ini.",@CharlesSutan,8/1/25,,,"['sayangnya', 'presiden', 'kita', 'dan', 'semua', 'kacungnya', 'berjiwa', 'binatang', 'yang', 'menjadikan', 'rakyat', 'jadi', 'sapi', 'perah', 'untuk', 'kesejahteraan', 'mereka', 'bangsat', 'ini', 'akibat', 'kalau', 'berkuasa', 'berniat', 'untuk', 'memperkaya', 'diri', 'sedih', 'melihat', 'perwira', 'agung', 'seperti', 'prabowo', 'bisa', 'selemah', 'ini']","['sayangnya', 'presiden', 'kacungnya', 'berjiwa', 'binatang', 'menjadikan', 'rakyat', 'sapi', 'perah', 'kesejahteraan', 'bangsat', 'akibat', 'berkuasa', 'berniat', 'memperkaya', 'sedih', 'perwira', 'agung', 'prabowo', 'selemah']","['sayang', 'presiden', 'kacung', 'jiwa', 'binatang', 'jadi', 'rakyat', 'sapi', 'perah', 'sejahtera', 'bangsat', 'akibat', 'kuasa', 'niat', 'kaya', 'sedih', 'perwira', 'agung', 'prabowo', 'lemah']"
Negatif,makasih tuhan aku gak perlu melalui masa sekolah dengan makan siang gratis dari pemerintah yang jelek,@kaptenAmercia,8/1/25,,,"['makasih', 'tuhan', 'aku', 'gak', 'perlu', 'melalui', 'masa', 'sekolah', 'dengan', 'makan', 'siang', 'gratis', 'dari', 'pemerintah', 'yang', 'jelek']","['makasih', 'tuhan', 'gak', 'sekolah', 'makan', 'siang', 'gratis', 'pemerintah', 'jelek']","['makasih', 'tuhan', 'gak', 'sekolah', 'makan', 'siang', 'gratis', 'perintah', 'jelek']"
Positif,"whatever program karna emosi apa engga tapi dilihat dari kacamata manusia dia membantu banyak orang ga peduli banyak yang gasuka lauknya atau gimana at least he tried to be kind, kita berkaca ke diri sendiri lebih baik sih…bisa ga ya kita membantu orang even sekedar makanan?",@cecilliavalerye,8/1/25,,,"['whatever', 'program', 'karna', 'emosi', 'apa', 'engga', 'tapi', 'dilihat', 'dari', 'kacamata', 'manusia', 'dia', 'membantu', 'banyak', 'orang', 'ga', 'peduli', 'banyak', 'yang', 'gasuka', 'lauknya', 'atau', 'gimana', 'at', 'least', 'he', 'tried', 'to', 'be', 'kind', 'kita', 'berkaca', 'ke', 'diri', 'sendiri', 'lebih', 'baik', 'sih', 'bisa', 'ga', 'ya', 'kita', 'membantu', 'orang', 'even', 'sekedar', 'makanan']","['whatever', 'program', 'karna', 'emosi', 'engga', 'kacamata', 'manusia', 'membantu', 'orang', 'ga', 'peduli', 'gasuka', 'lauknya', 'gimana', 'at', 'least', 'he', 'tried', 'to', 'be', 'kind', 'berkaca', 'sih', 'ga', 'ya', 'membantu', 'orang', 'even', 'sekedar', 'makanan']","['whatever', 'program', 'karna', 'emosi', 'engga', 'kacamata', 'manusia', 'bantu', 'orang', 'ga', 'peduli', 'gasuka', 'lauk', 'gimana', 'at', 'least', 'he', 'tried', 'to', 'be', 'kind', 'kaca', 'sih', 'ga', 'ya', 'bantu', 'orang', 'even', 'dar', 'makan']"
Negatif,"kalau tujuan program makan siang bergizi gratis adalah untuk mencegah stunting, sementara menu yang disajikan juga ternyata ga bergizi amat, berarti permasalahannya itu bersifat struktural dimana makanan bergizi itu mahal. benerin strukturalnya, bukan malah traktir satu negara!",@namazu_sensei,9/1/25,,,"['kalau', 'tujuan', 'program', 'makan', 'siang', 'bergizi', 'gratis', 'adalah', 'untuk', 'mencegah', 'stunting', 'sementara', 'menu', 'yang', 'disajikan', 'juga', 'ternyata', 'ga', 'bergizi', 'amat', 'berarti', 'permasalahannya', 'itu', 'bersifat', 'struktural', 'dimana', 'makanan', 'bergizi', 'itu', 'mahal', 'benerin', 'strukturalnya', 'bukan', 'malah', 'traktir', 'satu', 'negara']","['tujuan', 'program', 'makan', 'siang', 'bergizi', 'gratis', 'mencegah', 'stunting', 'menu', 'disajikan', 'ga', 'bergizi', 'permasalahannya', 'bersifat', 'struktural', 'dimana', 'makanan', 'bergizi', 'mahal', 'benerin', 'strukturalnya', 'traktir', 'negara']","['tuju', 'program', 'makan', 'siang', 'gizi', 'gratis', 'cegah', 'stunting', 'menu', 'saji', 'ga', 'gizi', 'masalah', 'sifat', 'struktural', 'mana', 'makan', 'gizi', 'mahal', 'benerin', 'struktural', 'traktir', 'negara']"
Negatif,"menangani stunting dengan sasaran anak sekolah menurutku terlalu jauh sih. kalo stunting ya fokus ke 1000 hpk + remaja putri aja. kuatin intervensi spesifik dan sensitif, mbg (makanan bergizi gratis) is not a solution.",@seilamiavita,9/1/25,,,"['menangani', 'stunting', 'dengan', 'sasaran', 'anak', 'sekolah', 'menurutku', 'terlalu', 'jauh', 'sih', 'kalo', 'stunting', 'ya', 'fokus', 'ke', '1000', 'hpk', 'remaja', 'putri', 'aja', 'kuatin', 'intervensi', 'spesifik', 'dan', 'sensitif', 'mbg', 'makanan', 'bergizi', 'gratis', 'is', 'not', 'a', 'solution']","['menangani', 'stunting', 'sasaran', 'anak', 'sekolah', 'menurutku', 'sih', 'kalo', 'stunting', 'ya', 'fokus', '1000', 'hpk', 'remaja', 'putri', 'aja', 'kuatin', 'intervensi', 'spesifik', 'sensitif', 'mbg', 'makanan', 'bergizi', 'gratis', 'is', 'not', 'a', 'solution']","['tangan', 'stunting', 'sasar', 'anak', 'sekolah', 'turut', 'sih', 'kalo', 'stunting', 'ya', 'fokus', '1000', 'hpk', 'remaja', 'putri', 'aja', 'kuatin', 'intervensi', 'spesifik', 'sensitif', 'mbg', 'makan', 'gizi', 'gratis', 'is', 'not', 'a', 'solution']"
Positif,"buat daerah dengan resiko stunting tinggi, dan ekonomi menengah kebawah mbg ini oke banget, cuma buat di daerah ekonomi menengah keatas cuma nambah food waste aja, terus evaluasi sampe ketemu mekanisme yang pas, yang berkeadilan, adil ga harus sama",@98d24ee59fa0405,9/1/25,,,"['buat', 'daerah', 'dengan', 'resiko', 'stunting', 'tinggi', 'dan', 'ekonomi', 'menengah', 'kebawah', 'mbg', 'ini', 'oke', 'banget', 'cuma', 'buat', 'di', 'daerah', 'ekonomi', 'menengah', 'keatas', 'cuma', 'nambah', 'food', 'waste', 'aja', 'terus', 'evaluasi', 'sampe', 'ketemu', 'mekanisme', 'yang', 'pas', 'yang', 'berkeadilan', 'adil', 'ga', 'harus', 'sama']","['daerah', 'resiko', 'stunting', 'ekonomi', 'menengah', 'kebawah', 'mbg', 'oke', 'banget', 'daerah', 'ekonomi', 'menengah', 'keatas', 'nambah', 'food', 'waste', 'aja', 'evaluasi', 'sampe', 'ketemu', 'mekanisme', 'pas', 'berkeadilan', 'adil', 'ga']","['daerah', 'resiko', 'stunting', 'ekonomi', 'tengah', 'bawah', 'mbg', 'oke', 'banget', 'daerah', 'ekonomi', 'tengah', 'atas', 'nambah', 'food', 'waste', 'aja', 'evaluasi', 'sampe', 'ketemu', 'mekanisme', 'pas', 'adil', 'adil', 'ga']"
Positif,makan siang gratis bikin vibes sekolah naik jadi 100% fun!,@Obi_Lamalera,9/1/25,,,"['makan', 'siang', 'gratis', 'bikin', 'vibes', 'sekolah', 'naik', 'jadi', '100', 'fun']","['makan', 'siang', 'gratis', 'bikin', 'vibes', 'sekolah', '100', 'fun']","['makan', 'siang', 'gratis', 'bikin', 'vibes', 'sekolah', '100', 'fun']"
Positif,"pak prabowo paham banget, kenyang itu awal dari mimpi besar! murid auto senyum tiap jam makan siang. terima kasih, presiden prabowo! presiden prabowo: bikin belajar tanpa lapar, anak-anak makin cerdas!gratis lunch? presiden prabowo ngerti banget kebutuhan anak bangsa!",@JenakaPurba,9/1/25,,,"['pak', 'prabowo', 'paham', 'banget', 'kenyang', 'itu', 'awal', 'dari', 'mimpi', 'besar', 'murid', 'auto', 'senyum', 'tiap', 'jam', 'makan', 'siang', 'terima', 'kasih', 'presiden', 'prabowo', 'presiden', 'prabowo', 'bikin', 'belajar', 'tanpa', 'lapar', 'anak', 'anak', 'makin', 'cerdas', 'gratis', 'lunch', 'presiden', 'prabowo', 'ngerti', 'banget', 'kebutuhan', 'anak', 'bangsa']","['prabowo', 'paham', 'banget', 'kenyang', 'mimpi', 'murid', 'auto', 'senyum', 'jam', 'makan', 'siang', 'terima', 'kasih', 'presiden', 'prabowo', 'presiden', 'prabowo', 'bikin', 'belajar', 'lapar', 'anak', 'anak', 'cerdas', 'gratis', 'lunch', 'presiden', 'prabowo', 'ngerti', 'banget', 'kebutuhan', 'anak', 'bangsa']","['prabowo', 'paham', 'banget', 'kenyang', 'mimpi', 'murid', 'auto', 'senyum', 'jam', 'makan', 'siang', 'terima', 'kasih', 'presiden', 'prabowo', 'presiden', 'prabowo', 'bikin', 'ajar', 'lapar', 'anak', 'anak', 'cerdas', 'gratis', 'lunch', 'presiden', 'prabowo', 'ngerti', 'banget', 'butuh', 'anak', 'bangsa']"
Negatif,"cegah stunting tapi ngasi makannya ke anak sekolah aja udah salah kalau mau cegah stunting harusnya yang ditargetkan remaja putri dan ibu hamil. berikan sex education, ilmu tentang parenting.. emang harusnya struktural yang dibenerin. makan gratis tapi sistem amburadul",@yulindahastuti,10/1/25,,,"['cegah', 'stunting', 'tapi', 'ngasi', 'makannya', 'ke', 'anak', 'sekolah', 'aja', 'udah', 'salah', 'kalau', 'mau', 'cegah', 'stunting', 'harusnya', 'yang', 'ditargetkan', 'remaja', 'putri', 'dan', 'ibu', 'hamil', 'berikan', 'sex', 'education', 'ilmu', 'tentang', 'parenting', 'emang', 'harusnya', 'struktural', 'yang', 'dibenerin', 'makan', 'gratis', 'tapi', 'sistem', 'amburadul']","['cegah', 'stunting', 'ngasi', 'makannya', 'anak', 'sekolah', 'aja', 'udah', 'salah', 'cegah', 'stunting', 'ditargetkan', 'remaja', 'putri', 'hamil', 'sex', 'education', 'ilmu', 'parenting', 'emang', 'struktural', 'dibenerin', 'makan', 'gratis', 'sistem', 'amburadul']","['cegah', 'stunting', 'ngasi', 'makan', 'anak', 'sekolah', 'aja', 'udah', 'salah', 'cegah', 'stunting', 'target', 'remaja', 'putri', 'hamil', 'sex', 'education', 'ilmu', 'parenting', 'emang', 'struktural', 'dibenerin', 'makan', 'gratis', 'sistem', 'amburadul']"
